//Racine 	Origine 	Sens 	Exemples de mots comportant la racine

a-, an-,	ἀ-, ἀν- 	absence, privation 	anachronisme, aphone, anonyme, apatride, athéisme
acro-	ἄκρος	élevé, extrême 	acropole, acrostiche, acropode, acrocarpe
actine, 	ἀκτίς	rayon 	actiniaire, actinie,
acou-	ἀκούω	entendre 	acoustique, acouphène, acoumétrie
adelphe	ἀδελφός	frère 	monadelphe, hétéradelphe, philadelphie
adéno-	ἀδήν	glande 	adénite, adénome, adénopathie
aéro-	ἀήρ	air 	aérien, aérophagie, aérobie, aérophore, aéroport, aérodynamique
-agogue	ἄγω	qui conduit 	pédagogue, démagogue, synagogue
agro-	ἀγρός	champ [1] 	agronomie, agrologie, agroglyphe
-algie	ἄλγος	douleur 	névralgie, analgésique, nostalgie, antalgique
allo-	ἄλλος	autre 	allergie, allogamie, allochtone, allopathie
amphi-	ἀμφίς	des deux côtés, autour 	amphithéâtre, amphibien, amphibie, amphibraque
ana-	ἀνά	retour, reprise 	anaphore, anacoluthe, analepse
andro-	ἀνήρ, ἀνδρός	homme, mâle 	misandrie, polyandrie, andragogie, androgyne, andropause
anémo-	ἄνεμος	vent 	anémomètre
antho-	ἄνθος	fleur 	anthologie, anthère, anthocyane
anthropo-	ἄνθρωπος	homme, être humain 	misanthrope, , anthropophagie, anthropologie,
anti-	ἀντί	contre, opposé 	antibiotique, antidote, antisymétrie
apo-	ἀπό	loin de 	apologie, apogée
arachno-	ἀράχνη	araignée 	arachnéen, arachnides, arachnophobie
archéo-	ἀρχαῖος	ancien, primitif 	archaïsme, archéologie, archéobactérie
-archie, -arque	ἄρχω	commander 	anarchisme, oligarchie, monarque
astro-	ἄστρον	étoile 	astronomie, astrologie, astronaute
auto-	αὐτός	soi-même 	automobile, automédication, autarcie, automate, autisme
-bactéri-	βακτηρία	bâton 	bactérie, bactériologie, bactériophage
bar(o)-	βάρος	pesanteur 	baromètre, baresthésie
-bate	βαίνω	qui marche 	acrobate, stylobate
bathy-	βαθύς	profond 	bathyscaphe, bathysphère, bathymétrie
biblio-	βιβλίον	livre 	bibliothèque, bibliographie, bible
-bi(o)-	βίοςv	vie 	biologie, biotope, biométrie, biodégradable
bronch(o)-	βρογχια	bronches 	bronches, bronchite, bronchoscopie
caco-, cach-	κακός 	mauvais 	cacophonie, cacographie, cachexie
calli-	καλός 	beau 	calligraphie, callipyge
-cardi(o)-	καρδία 	cœur 	cardiologie, électrocardiogramme, tachycardie, myocarde
caryo-	κάρυον 	noix, noyau 	caryotype, caryogamie, caryopse
cata-	κατά 	en bas, dessous 	cataclysme, catacombes, cataracte, catastrophe
-céphal-	κεφαλή 	tête 	encéphale, holocéphale, céphalée, bucéphale, céphalopode
cérat-	κέρας 	corne 	chélicère, tricératops, kératite, kératine
cerco-	κέρκος 	queue 	cercopithèque, cercopidés
chir(o)-	χείρ 	main 	chiralité, chiropraxie, chirurgie, chiromancie
chlor(o)-	χλωρός 	vert 	chlore, chlorophylle, chlorhydrique
-chol-	χολή 	bile 	cholémie, cholagogue, cholestérol, choléra
chor-	χορός 	chœur ; danse 	chorale, chorée, chorégraphie
chor(o)-	χώρα 	pays 	chorologie, choronyme
-chrom(o)-	χρῶμα 	couleur 	chromatique, chromosome, chromosphère, monochrome
-chron(o)-	χρόνος 	temps 	chronique, chronomètre, synchronie, chronologie
chrys(o)-	χρυσός 	or 	chrysalide, chrysanthème, chrysolite
-clad-	κλάδος 	branche, rameau 	clade, cladistique, cladocère,
-clasm, -clast-	klaô	briser 	iconoclasme, pyroclastique
-clin-	κλίνω	incliner ; lit 	clinique, clinostatisme
coléo-	κολεός	fourreau, étui 	coléoptère, coléoïdes
-col(o)-	κῶλον	côlon 	côlon, coloscopie, colostomie, entérocolite
como-	κόμη	chevelure, feuillage 	acomoclitisme
copro-	κόπρος	excrément 	coprophagie, coprolalie, coprolithe
-coque	κόκκος	graine 	staphylocoque, streptocoque, gonocoque
-cosmo-	κόσμος	monde 	cosmonaute, cosmogonie, cosmopolitisme, macrocosme
-cristall(o)-	κρύσταλλος	verre, glace 	cristal, cristallographie, cristallogenèse
-crypt(o)-	κρυπτός	caché 	crypte, cryptogame, cryptogramme, cryptanalyse
-cyan-	κύανος	bleu foncé 	cyan, cyanhydrique, anthocyane, cyanure
cyber-	κυβερνάω	piloter 	cybernétique, cybermonde, cybercafé
-cycl-	κύκλος	cercle 	cyclades, bicyclette, hémicycle, cyclope, encyclopédie
cyn(o)-	κύων	chien 	cynodrome, cynisme, cynocéphale, cynorrhodon
-cyst(o)-	κύστις	vessie 	cystite, cystoscopie, cystocèle
-cyt(o)-	κύτος	cellule, cavité 	cytoplasme, cytogénétique, ovocyte, leucocyte
-dactyl-	δάκτυλος	doigt 	dactylographie, périssodactyle, artiodactyle
déca-	δέκα	dix 	décamètre, décasyllabe, décade
-dém(o)-	δῆμος, -ου	peuple 	démocratie, démagogie, démographie, épidémie
-dendr(o)-	δένδρον	arbre 	dendrite, philodendron, rhododendron
-derm-	δέρματος	peau 	épiderme, dermatose, pachyderme, échinoderme
-dési-	δαισία	division 	géodésie
-deut(éro)-	δεύτερος	deuxième 	deutéronome, deutérium, deutoneurone
di- ou dy-	δι-, δυ-, δύο	deux 	dimorphisme, dicotylédone, dyadique, dichotomie
dia-	διά	à travers 	diamètre, dialecte, diarrhée, diagnostic
-didact-	διδάσκω	enseigner 	autodidacte, didactique, didascalie
dipl(o)-	διπλοῦς	double 	diplodocus, diplodactyle, diploïde
dodéca-	δώδεκα	douze 	dodécalogue, dodécaphonisme, Dodécanèse, dodécaèdre
dory-	δόρυ	lance 	doryphore, doryanthacée
-dox-	δόξα	opinion 	paradoxe, orthodoxe, doxa
-dram-	δρᾶμα	action 	drame, mélodrame, dramaturgie, psychodrame
-dry(o)-	δρῦς	chêne 	dryades, hamadryades, dryopteris, dryopithèque
-dyn(amo)-	δύναμις	force 	dynamique, dynamite, dynamo, dynamomètre, hétérodyne
dys-	δυσ-	difficulté, mauvais (état) 	dyslexie, dysenterie, dysplasie, dystrophie
échino-	ἐχῖνος	hérisson 	échinocoque, échinoderme
éco-	οἶκος	maison, chez soi 	économie, écologie, écosystème
ecto-	ἐκτός	au dehors (de), à l'extérieur 	ectoderme, ectoplasme
